iter	Passed	Remaining
0	0	89
1	1	58
2	1	46
3	1	40
4	1	37
5	2	35
6	2	34
7	2	33
8	3	32
9	3	32
10	3	31
11	4	30
12	4	29
13	4	29
14	5	28
15	5	27
16	5	27
17	5	27
18	6	26
19	6	26
20	6	26
21	7	25
22	7	25
23	7	24
24	8	24
25	8	24
26	8	23
27	9	23
28	9	23
29	9	22
30	10	22
31	10	22
32	10	21
33	11	21
34	11	21
35	11	20
36	12	20
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	18
45	15	17
46	15	17
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	17	15
53	17	15
54	17	14
55	18	14
56	18	14
57	18	13
58	19	13
59	19	12
60	19	12
61	20	12
62	20	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	21	9
69	22	9
70	22	9
71	22	8
72	23	8
73	23	8
74	23	7
75	24	7
76	24	7
77	24	6
78	24	6
79	25	6
80	25	5
81	25	5
82	25	5
83	26	4
84	26	4
85	26	4
86	26	4
87	27	3
88	27	3
89	27	3
90	28	2
91	28	2
92	28	2
93	28	1
94	29	1
95	29	1
96	29	0
97	29	0
98	30	0
99	30	0
