iter	Passed	Remaining
0	56	56796
1	57	28527
2	57	19122
3	58	14635
4	59	11795
5	59	9878
6	60	8515
7	60	7507
8	60	6710
9	61	6067
10	61	5540
11	61	5098
12	62	4728
13	62	4408
14	62	4135
15	63	3900
16	63	3683
17	64	3498
18	64	3328
19	64	3179
20	65	3042
21	65	2916
22	66	2806
23	66	2704
24	67	2617
25	67	2527
26	67	2441
27	68	2360
28	68	2290
29	68	2229
30	69	2167
31	69	2115
32	70	2059
33	70	2007
34	71	1963
35	71	1919
36	72	1875
37	72	1833
38	72	1793
39	73	1756
40	73	1720
41	73	1685
42	74	1651
43	74	1622
44	75	1609
45	76	1581
46	76	1552
47	76	1526
48	77	1503
49	77	1478
50	78	1455
51	78	1432
52	78	1410
53	79	1388
54	79	1368
55	79	1347
56	80	1329
57	80	1311
58	81	1294
59	81	1276
60	81	1260
61	82	1246
62	82	1231
63	83	1216
64	83	1201
65	84	1189
66	84	1174
67	84	1163
68	85	1150
69	85	1137
70	86	1125
71	86	1114
72	86	1103
73	87	1091
74	87	1079
75	87	1069
76	88	1058
77	88	1050
78	89	1042
79	89	1034
80	90	1024
81	90	1014
82	90	1003
83	91	993
84	91	984
85	91	975
86	92	966
87	92	957
88	92	949
89	93	940
90	93	932
91	93	924
92	93	916
93	94	909
94	94	901
95	94	894
96	95	886
97	95	880
98	95	873
99	96	866
100	96	859
101	96	853
102	97	849
103	97	843
104	98	838
105	98	832
106	99	827
107	99	821
108	99	815
109	100	809
110	100	804
111	100	799
112	101	793
113	101	789
114	101	783
115	102	778
116	102	772
117	102	768
118	103	763
119	103	759
120	104	756
121	104	752
122	104	748
123	105	744
124	105	741
125	106	737
126	106	732
127	106	727
128	107	723
129	107	720
130	108	716
131	108	712
132	108	708
133	109	704
134	109	700
135	109	696
136	109	692
137	110	688
138	110	685
139	110	681
140	111	677
141	111	673
142	111	670
143	112	667
144	112	664
145	112	660
146	113	656
147	113	653
148	114	651
149	114	648
150	114	644
151	115	641
152	115	638
153	115	635
154	116	632
155	116	631
156	117	628
157	117	625
158	117	622
159	118	619
160	118	615
161	118	613
162	118	610
163	119	608
164	119	605
165	120	603
166	120	600
167	120	598
168	121	596
169	121	594
170	122	592
171	122	589
172	122	587
173	123	584
174	123	581
175	123	579
176	124	576
177	124	574
178	124	572
179	125	570
180	125	568
181	126	566
182	126	563
183	126	561
184	126	559
185	127	557
186	127	555
187	128	553
188	128	551
189	128	549
190	129	547
191	129	544
192	129	542
193	130	540
194	130	539
195	130	537
196	131	535
197	131	533
198	132	531
199	132	529
200	132	527
201	133	525
202	133	523
203	133	521
204	134	519
205	134	517
206	134	515
207	135	514
208	135	513
209	136	511
210	136	510
211	136	508
212	137	506
213	137	505
214	137	503
215	138	501
216	138	500
217	138	498
218	139	496
219	139	494
220	139	492
221	140	491
222	140	490
223	140	488
224	141	486
225	141	485
226	142	483
227	142	482
228	142	480
229	143	479
230	143	478
231	143	476
232	144	474
233	144	473
234	145	472
235	145	470
236	145	469
237	146	467
238	146	466
239	146	464
240	147	463
241	147	461
242	147	460
243	148	459
244	148	458
245	148	456
246	149	455
247	149	453
248	150	452
249	150	451
250	150	450
251	151	449
252	151	448
253	152	447
254	152	446
255	152	444
256	153	443
257	153	442
258	154	441
259	154	440
260	155	438
261	155	437
262	155	436
263	155	434
264	156	433
265	156	432
266	156	430
267	157	429
268	157	428
269	158	427
270	158	425
271	158	424
272	159	423
273	159	422
274	159	420
275	160	419
276	160	418
277	161	419
278	161	418
279	162	417
280	162	416
281	163	415
282	163	414
283	163	413
284	164	412
285	164	411
286	165	410
287	165	409
288	165	408
289	166	406
290	166	405
291	166	404
292	167	403
293	167	402
294	167	401
295	168	400
296	168	399
297	169	398
298	169	397
299	169	396
300	170	394
301	170	393
302	170	392
303	171	391
304	171	390
305	171	389
306	172	388
307	172	387
308	172	386
309	173	385
310	173	384
311	173	383
312	174	382
313	174	381
314	174	380
315	175	379
316	175	378
317	176	377
318	176	376
319	176	375
320	176	374
321	177	373
322	177	372
323	177	371
324	178	370
325	178	369
326	179	368
327	179	367
328	179	366
329	180	365
330	180	364
331	180	363
332	181	362
333	181	361
334	181	360
335	182	359
336	182	358
337	182	357
338	182	356
339	183	356
340	183	355
341	184	354
342	184	353
343	184	352
344	185	351
345	185	350
346	186	350
347	186	349
348	186	348
349	187	347
350	187	346
351	187	345
352	188	344
353	188	343
354	188	342
355	189	341
356	189	341
357	189	340
358	190	340
359	191	339
360	191	338
361	191	338
362	192	337
363	192	336
364	192	335
365	193	334
366	193	334
367	194	333
368	194	333
369	195	332
370	195	331
371	195	330
372	196	329
373	196	328
374	196	327
375	197	327
376	197	326
377	197	325
378	198	324
379	198	323
380	198	322
381	199	322
382	199	321
383	199	320
384	200	319
385	200	319
386	200	318
387	201	317
388	201	316
389	201	315
390	202	315
391	202	314
392	203	313
393	203	312
394	203	311
395	204	311
396	204	310
397	204	309
398	205	308
399	205	308
400	205	307
401	206	306
402	206	305
403	206	304
404	206	304
405	207	303
406	207	302
407	207	301
408	208	300
409	208	300
410	208	299
411	209	298
412	209	297
413	209	297
414	210	296
415	210	295
416	210	294
417	211	294
418	211	293
419	212	292
420	212	292
421	212	291
422	213	290
423	213	289
424	213	289
425	214	288
426	214	287
427	214	286
428	214	286
429	215	285
430	215	284
431	216	284
432	216	283
433	216	282
434	217	282
435	217	281
436	217	280
437	218	279
438	218	279
439	218	278
440	219	277
441	219	277
442	219	276
443	220	275
444	220	275
445	220	274
446	221	273
447	221	273
448	221	272
449	222	271
450	222	270
451	222	270
452	223	269
453	223	268
454	224	268
455	224	267
456	224	267
457	225	266
458	225	265
459	225	265
460	226	264
461	226	263
462	226	263
463	227	262
464	227	261
465	227	261
466	228	260
467	228	259
468	228	259
469	229	258
470	229	257
471	229	257
472	230	256
473	230	255
474	230	255
475	231	254
476	231	253
477	231	253
478	232	252
479	232	251
480	232	251
481	233	250
482	233	250
483	233	249
484	234	248
485	234	248
486	235	247
487	235	246
488	235	246
489	236	245
490	236	245
491	236	244
492	237	243
493	237	243
494	237	242
495	237	241
496	238	241
497	238	240
498	238	239
499	239	239
500	239	238
501	239	238
502	240	237
503	240	236
504	240	236
505	241	235
506	241	234
507	241	234
508	242	233
509	242	233
510	242	232
511	243	231
512	243	231
513	243	230
514	244	230
515	244	229
516	244	228
517	245	228
518	245	227
519	245	226
520	246	226
521	246	225
522	246	225
523	247	224
524	247	223
525	247	223
526	248	222
527	248	222
528	248	221
529	249	220
530	249	220
531	249	219
532	250	219
533	250	218
534	250	218
535	251	217
536	251	216
537	251	216
538	252	215
539	252	214
540	252	214
541	252	213
542	253	213
543	253	212
544	253	211
545	254	211
546	254	210
547	254	210
548	255	209
549	255	209
550	255	208
551	256	207
552	256	207
553	257	206
554	257	206
555	257	205
556	258	205
557	258	204
558	258	204
559	259	203
560	259	202
561	259	202
562	259	201
563	260	201
564	260	200
565	260	199
566	261	199
567	261	198
568	261	198
569	261	197
570	262	197
571	262	196
572	262	195
573	263	195
574	263	194
575	264	194
576	264	193
577	264	193
578	265	192
579	265	192
580	265	191
581	266	191
582	266	190
583	266	190
584	267	189
585	267	189
586	268	188
587	268	188
588	268	187
589	269	186
590	269	186
591	269	185
592	270	185
593	270	184
594	270	184
595	271	184
596	272	183
597	272	183
598	272	182
599	273	182
600	273	181
601	273	181
602	274	180
603	274	179
604	274	179
605	275	178
606	275	178
607	275	177
608	275	177
609	276	176
610	276	176
611	276	175
612	277	175
613	277	174
614	278	174
615	278	173
616	278	173
617	279	172
618	279	171
619	279	171
620	280	170
621	280	170
622	280	169
623	281	169
624	281	168
625	281	168
626	282	167
627	282	167
628	282	166
629	283	166
630	283	165
631	284	165
632	284	164
633	284	164
634	285	163
635	285	163
636	285	162
637	286	162
638	286	161
639	286	161
640	287	160
641	287	160
642	287	159
643	288	159
644	288	158
645	288	158
646	289	157
647	289	157
648	290	156
649	290	156
650	291	156
651	291	155
652	291	155
653	292	154
654	292	154
655	292	153
656	293	152
657	293	152
658	293	151
659	293	151
660	294	150
661	294	150
662	295	149
663	295	149
664	295	148
665	296	148
666	296	147
667	296	147
668	297	146
669	297	146
670	297	145
671	297	145
672	298	144
673	298	144
674	298	143
675	299	143
676	299	142
677	300	142
678	300	141
679	300	141
680	301	141
681	301	140
682	301	140
683	302	139
684	302	139
685	302	138
686	302	138
687	303	137
688	303	137
689	303	136
690	304	136
691	304	135
692	304	135
693	305	134
694	305	134
695	305	133
696	306	133
697	306	132
698	306	132
699	307	131
700	307	131
701	307	130
702	307	130
703	308	129
704	308	129
705	308	128
706	309	128
707	309	127
708	310	127
709	310	126
710	310	126
711	311	125
712	311	125
713	311	124
714	312	124
715	312	123
716	312	123
717	313	123
718	313	122
719	313	122
720	314	121
721	314	121
722	315	120
723	315	120
724	315	119
725	316	119
726	316	118
727	316	118
728	317	117
729	317	117
730	317	116
731	318	116
732	318	116
733	319	115
734	319	115
735	319	114
736	320	114
737	320	113
738	320	113
739	320	112
740	321	112
741	321	111
742	321	111
743	322	110
744	322	110
745	323	109
746	323	109
747	323	109
748	324	108
749	325	108
750	325	107
751	325	107
752	326	107
753	326	106
754	326	106
755	327	105
756	327	105
757	327	104
758	328	104
759	328	103
760	328	103
761	329	102
762	329	102
763	329	101
764	330	101
765	330	100
766	330	100
767	331	100
768	331	99
769	331	99
770	332	98
771	332	98
772	332	97
773	333	97
774	333	96
775	333	96
776	334	95
777	334	95
778	334	95
779	335	94
780	335	94
781	335	93
782	336	93
783	336	92
784	336	92
785	337	91
786	337	91
787	337	90
788	338	90
789	338	89
790	338	89
791	338	89
792	339	88
793	339	88
794	339	87
795	340	87
796	340	86
797	340	86
798	340	85
799	341	85
800	341	84
801	341	84
802	341	83
803	342	83
804	342	82
805	342	82
806	343	82
807	343	81
808	343	81
809	344	80
810	344	80
811	344	79
812	345	79
813	345	78
814	345	78
815	346	78
816	346	77
817	346	77
818	347	76
819	347	76
820	347	75
821	348	75
822	348	74
823	349	74
824	349	74
825	349	73
826	350	73
827	350	72
828	350	72
829	351	71
830	351	71
831	352	71
832	352	70
833	352	70
834	353	69
835	353	69
836	353	68
837	354	68
838	354	68
839	354	67
840	355	67
841	355	66
842	355	66
843	355	65
844	356	65
845	356	64
846	356	64
847	357	64
848	357	63
849	357	63
850	358	62
851	358	62
852	358	61
853	359	61
854	359	60
855	359	60
856	360	60
857	360	59
858	360	59
859	361	58
860	361	58
861	361	57
862	362	57
863	362	57
864	362	56
865	363	56
866	363	55
867	363	55
868	364	54
869	364	54
870	364	54
871	365	53
872	365	53
873	366	52
874	366	52
875	366	51
876	367	51
877	367	51
878	367	50
879	368	50
880	368	49
881	368	49
882	368	48
883	369	48
884	369	48
885	369	47
886	370	47
887	370	46
888	370	46
889	370	45
890	371	45
891	371	44
892	371	44
893	372	44
894	372	43
895	372	43
896	373	42
897	373	42
898	373	41
899	374	41
900	374	41
901	374	40
902	375	40
903	375	39
904	375	39
905	376	39
906	376	38
907	376	38
908	376	37
909	377	37
910	377	36
911	377	36
912	378	36
913	378	35
914	378	35
915	379	34
916	379	34
917	379	33
918	380	33
919	380	33
920	381	32
921	381	32
922	381	31
923	381	31
924	382	30
925	382	30
926	382	30
927	383	29
928	383	29
929	383	28
930	383	28
931	384	28
932	384	27
933	384	27
934	384	26
935	385	26
936	385	25
937	386	25
938	386	25
939	386	24
940	387	24
941	387	23
942	388	23
943	388	23
944	388	22
945	389	22
946	389	21
947	389	21
948	389	20
949	390	20
950	390	20
951	390	19
952	391	19
953	391	18
954	391	18
955	391	18
956	392	17
957	392	17
958	392	16
959	393	16
960	393	15
961	393	15
962	394	15
963	394	14
964	394	14
965	395	13
966	395	13
967	395	13
968	396	12
969	396	12
970	396	11
971	396	11
972	397	11
973	397	10
974	397	10
975	398	9
976	398	9
977	398	8
978	399	8
979	399	8
980	399	7
981	400	7
982	400	6
983	400	6
984	401	6
985	401	5
986	401	5
987	402	4
988	402	4
989	402	4
990	403	3
991	403	3
992	403	2
993	404	2
994	404	2
995	404	1
996	405	1
997	405	0
998	405	0
999	406	0
